,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,time
467,The Chronicles of Narnia: Prince Caspian,2008,Adventure,PG,141621490,166277038,2005 to 2010
468,WALL-E,2008,Adventure,G,223808164,262771918,2005 to 2010
469,Swing Vote,2008,Comedy,PG-13,16289867,19125841,2005 to 2010
470,Goal! 2: Living the Dream...,2008,Drama,PG-13,225067,264247,2005 to 2010
471,Miracle at St. Anna,2008,Drama,R,7916887,9295171,2005 to 2010
472,Beverly Hills Chihuahua,2008,Comedy,PG,94514402,110932022,2005 to 2010
473,Morning Light,2008,Documentary,PG,275093,322979,2005 to 2010
474,High School Musical 3: Senior Year,2008,Musical,G,90559416,106308538,2005 to 2010
475,Bolt,2008,Comedy,PG,114053759,133702498,2005 to 2010
476,Bedtime Stories,2008,Comedy,PG,110101975,128039679,2005 to 2010
477,Confessions of a Shopaholic,2009,Romantic Comedy,PG,44277350,49767744,2005 to 2010
478,Jonas Brothers: The 3D Concert Experi…,2009,Concert/Performance,G,38174685,38174685,2005 to 2010
479,Race to Witch Mountain,2009,Adventure,PG,67172594,75501997,2005 to 2010
480,Hannah Montana the Movie,2009,Drama,G,79576189,89443640,2005 to 2010
481,Earth,2009,Documentary,G,32011576,35981010,2005 to 2010
482,Up,2009,Adventure,PG,293004164,329336681,2005 to 2010
483,The Proposal,2009,Romantic Comedy,PG-13,163958031,184288829,2005 to 2010
484,G-Force,2009,Adventure,PG,119436770,134246932,2005 to 2010
485,Gake no ue no Ponyo,2009,Adventure,G,15090399,16961607,2005 to 2010
486,X Games 3D: The Movie,2009,Documentary,PG,1391434,1563976,2005 to 2010
487,Walt and El Grupo,2009,Documentary,PG,20521,23064,2005 to 2010
488,Surrogates,2009,Action,PG-13,38577772,43361416,2005 to 2010
489,Toy Story 3D Double Feature,2009,Adventure,G,30702446,34509545,2005 to 2010
490,Disney's A Christmas Carol,2009,Drama,PG,137855863,154927105,2005 to 2010
491,The Princess and the Frog,2009,Adventure,G,104400899,116316457,2005 to 2010
492,Old Dogs,2009,Comedy,PG,49492060,55503929,2005 to 2010
493,When in Rome,2010,Romantic Comedy,PG-13,32680633,34917330,2010 to 2012
494,Alice in Wonderland,2010,Adventure,PG,334191110,357063499,2010 to 2012
495,Waking Sleeping Beauty,2010,Documentary,PG,80741,86264,2010 to 2012
496,The Last Song,2010,Drama,PG,62950384,67258772,2010 to 2012
497,Oceans,2010,Documentary,G,19422319,20751600,2010 to 2012
498,Prince of Persia: Sands of Time,2010,Action,PG-13,90759676,96971361,2010 to 2012
499,Toy Story 3,2010,Adventure,G,415004880,443408255,2010 to 2012
500,The Sorcerer's Apprentice,2010,Adventure,PG,63150991,67473105,2010 to 2012
501,Step Up 3D,2010,Drama,PG-13,42400223,45302137,2010 to 2012
502,Gedo Senki (Tales from Earthsea),2010,Adventure,PG-13,48658,51988,2010 to 2012
503,You Again,2010,Comedy,PG,25702053,27461121,2010 to 2012
504,Secretariat,2010,Drama,PG,59699513,63781920,2010 to 2012
505,Tangled,2010,Adventure,PG,200821936,214388548,2010 to 2012
506,Tron: Legacy,2010,Adventure,PG,172062763,183619259,2010 to 2012
507,Gnomeo and Juliet,2011,Comedy,G,99967670,106270797,2010 to 2012
508,I am Number Four,2011,Adventure,PG-13,55100437,58574607,2010 to 2012
509,Mars Needs Moms,2011,Adventure,PG,21392758,22741603,2010 to 2012
510,African Cats,2011,Documentary,G,15428747,16401551,2010 to 2012
511,Zokkomon,2011,Adventure,PG,2815,2984,2010 to 2012
512,Prom,2011,Comedy,PG,10130219,10768946,2010 to 2012
513,Pirates of the Caribbean: On Stranger…,2011,Adventure,PG-13,241063875,256263359,2010 to 2012
514,Cars 2,2011,Adventure,G,191450875,203522177,2010 to 2012
515,Winnie the Pooh,2011,Adventure,G,26692846,28375869,2010 to 2012
516,The Help,2011,Drama,PG-13,169705587,180404976,2010 to 2012
517,Fright Night,2011,Horror,R,18298649,19452402,2010 to 2012
518,Real Steel,2011,Action,PG-13,85463309,90848019,2010 to 2012
519,The Muppets,2011,Comedy,PG,88625922,94189503,2010 to 2012
520,War Horse,2011,Drama,PG-13,79883359,84762149,2010 to 2012
521,The Secret World of Arietty,2012,Adventure,G,19192510,20325733,2012 to 2014
522,John Carter,2012,Adventure,PG-13,73058679,77372445,2012 to 2014
523,Chimpanzee,2012,Documentary,G,28965459,30675725,2012 to 2014
524,The Avengers,2012,Action,PG-13,623279547,660081224,2012 to 2014
525,Brave,2012,Adventure,PG,237282182,251292441,2012 to 2014
526,People Like Us,2012,Drama,PG-13,12431792,13165822,2012 to 2014
527,The Odd Life of Timothy Green,2012,Drama,PG,51853450,54914942,2012 to 2014
528,Frankenweenie,2012,Comedy,PG,35287788,37363513,2012 to 2014
529,Wreck-It Ralph,2012,Adventure,PG,189412677,200354959,2012 to 2014
530,Lincoln,2012,Drama,PG-13,182207973,192122330,2012 to 2014
531,Oz the Great and Powerful,2013,Adventure,PG,234770996,243434130,2012 to 2014
532,Iron Man 3,2013,Action,PG-13,408992272,424084233,2012 to 2014
533,Monsters University,2013,Adventure,G,268488329,278395641,2012 to 2014
534,The Lone Ranger,2013,Western,PG-13,89302115,92597388,2012 to 2014
535,Disney Planes,2013,Comedy,PG,90282580,93614037,2012 to 2014
536,The Fifth Estate,2013,Drama,R,3254172,3374251,2012 to 2014
537,Thor: The Dark World,2013,Adventure,PG-13,206362140,213962184,2012 to 2014
538,Kaze Tachinu,2013,Drama,PG-13,5201879,5367415,2012 to 2014
539,Frozen,2013,Adventure,PG,400738009,414997174,2012 to 2014
540,Delivery Man,2013,Comedy,PG-13,30659817,31787136,2012 to 2014
541,Saving Mr. Banks,2013,Drama,PG-13,83299761,86249969,2012 to 2014
542,Need for Speed,2014,Action,PG-13,43568507,44955015,2014 to 2016
543,Muppets Most Wanted,2014,Comedy,PG,51178893,52807594,2014 to 2016
544,Captain America: The Winter Soldier,2014,Action,PG-13,259746958,268013076,2014 to 2016
545,Bears,2014,Documentary,G,17780194,18346024,2014 to 2016
546,Million Dollar Arm,2014,Drama,PG,36447959,37607865,2014 to 2016
547,Maleficent,2014,Adventure,PG,241407328,249089809,2014 to 2016
548,Planes: Fire and Rescue,2014,Adventure,PG,59157732,61040349,2014 to 2016
549,Guardians of the Galaxy,2014,Adventure,PG-13,333172112,343771168,2014 to 2016
550,The Hundred-Foot Journey,2014,Romantic Comedy,PG,54235441,55961409,2014 to 2016
551,"Alexander and the Terrible, Horrible,…",2014,Comedy,PG,66954149,69055550,2014 to 2016
552,Big Hero 6,2014,Adventure,PG,222527828,229249222,2014 to 2016
553,Into the Woods,2014,Musical,PG,128002372,130894237,2014 to 2016
554,Strange Magic,2015,Adventure,PG,12429583,12429583,2014 to 2016
555,"McFarland, USA",2015,Drama,PG,44480275,44480275,2014 to 2016
556,Cinderella,2015,Drama,PG,201151353,201151353,2014 to 2016
557,Monkey Kingdom,2015,Documentary,G,16432322,16432322,2014 to 2016
558,Avengers: Age of Ultron,2015,Action,PG-13,459005868,459005868,2014 to 2016
559,Tomorrowland,2015,Adventure,PG,93436322,93436322,2014 to 2016
560,Inside Out,2015,Adventure,PG,356461711,356461711,2014 to 2016
561,Ant-Man,2015,Action,PG-13,180202163,180202163,2014 to 2016
562,Bridge of Spies,2015,Thriller/Suspense,PG-13,72313754,72313754,2014 to 2016
563,The Good Dinosaur,2015,Adventure,PG,123087120,123087120,2014 to 2016
564,Star Wars Ep. VII: The Force Awakens,2015,Adventure,PG-13,936662225,936662225,2014 to 2016
565,The Finest Hours,2016,Thriller/Suspense,PG,27569558,27569558,2016 to 2017
566,Zootopia,2016,Adventure,PG,341268248,341268248,2016 to 2017
567,The Jungle Book,2016,Adventure,PG,364001123,364001123,2016 to 2017
568,A Beautiful Planet,2016,Documentary,G,7895708,7895708,2016 to 2017
569,Captain America: Civil War,2016,Action,PG-13,408084349,408084349,2016 to 2017
570,Alice Through the Looking Glass,2016,Adventure,PG,77042381,77042381,2016 to 2017
571,Finding Dory,2016,Adventure,PG,486295561,486295561,2016 to 2017
572,The BFG,2016,Adventure,PG,55483770,55483770,2016 to 2017
573,Pete’s Dragon,2016,Adventure,PG,76233151,76233151,2016 to 2017
574,The Light Between Oceans,2016,Drama,PG-13,12545979,12545979,2016 to 2017
575,Queen of Katwe,2016,Drama,PG,8874389,8874389,2016 to 2017
576,Doctor Strange,2016,Adventure,PG-13,232532923,232532923,2016 to 2017
577,Moana,2016,Adventure,PG,246082029,246082029,2016 to 2017
578,Rogue One: A Star Wars Story,2016,Adventure,PG-13,529483936,529483936,2016 to 2017
